case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C012,OSPF neighbors not forming between R1 and R2,R1 and R2 on 10.0.0.0/30 OSPF configured,show ip ospf neighbor: Empty on both; R1 area 0 R2 area 1 on same link,OSPF area mismatch on shared link,Layer3,Routing,High
C013,RIP routes not appearing after configuration,R1 R2 R3 in RIP network all interfaces configured,show ip rip database: Empty; show interfaces Se0/0/0: line protocol is down,Serial interface down - RIP adjacency cannot form,Layer1,Routing,High
C014,Guest VLAN users can access internal finance server,Guest VLAN 99 and Finance VLAN 10 on same switch,show access-lists: No ACLs configured; show vlan brief: VLAN99 and VLAN10 active,Missing ACL - guest VLAN not isolated from internal VLANs,Layer3,ACL,Critical
C015,PC gets correct IP from DHCP but wrong default gateway,DHCP pool on R1 gateway should be 192.168.1.1,show ip dhcp pool: default-router 192.168.10.1 (wrong subnet),DHCP pool default-router configured with wrong gateway IP,Layer3,DHCP,High
C016,Trunk between SW1 and SW2 only carries VLAN 1,SW1 and SW2 trunk link VLANs 10 20 30 should be allowed,show interfaces trunk: SW1 Fa0/24 VLANs allowed: 1,Trunk allowed VLAN list not configured - defaults to VLAN 1 only,Layer2,VLAN,High
C017,PC1 cannot ping PC2 on same switch same VLAN,Both PCs on VLAN 10 port Fa0/3 has port-security,show port-security interface Fa0/3: err-disabled Violation mode shutdown,Port security violation put port in err-disabled state,Layer2,PortSecurity,Medium
C018,NAT translations exist but internet still not reachable,R1 doing NAT ISP link Se0/0/0,show ip nat translations: translations present; show ip route: No default route,Missing default route to ISP,Layer3,Routing,High
C019,EIGRP neighbor drops periodically,R1 and R2 running EIGRP AS 100,show ip eigrp neighbors: flapping; show interfaces Se0/0/0: CRC errors 320,Excessive CRC errors on serial link causing EIGRP hello loss,Layer1,Routing,Medium
C020,Wireless PC cannot reach wired PCs,Wireless clients on SSID Corp AP connected to SW1 Fa0/10,show vlan brief: Fa0/10 in VLAN 1; SSID Corp mapped to VLAN 20; no VLAN 20 SVI,AP access port in wrong VLAN - wireless traffic in VLAN 1 not VLAN 20,Layer2,Wireless,High
C021,PC gets DHCP address but HTTP times out DNS resolves,R1 doing PAT HTTP traffic should work,show ip nat translations: UDP port 53 present TCP port 80 absent; ACL permits UDP only,NAT ACL only permits UDP - TCP traffic for HTTP not translated,Layer4,NAT,High
C022,PC1 cannot ping PC2 on different switches same IP range,SW1 and SW2 connected via Fa0/24 no trunk,show interfaces Fa0/24 on SW1: VLAN 10 SW2: VLAN 20,Uplink ports in different VLANs - inter-switch blocked,Layer2,VLAN,High
C023,Router shows route but ping fails with U.U.U,R1 has route via R2 R2 has no return route,show ip route R1: 172.16.0.0/24 via 10.0.0.2; show ip route R2: No route to 192.168.1.0/24,Missing return route on R2 - ICMP unreachable,Layer3,Routing,High
C024,ACL configured to block Telnet but SSH also gets blocked,ACL 101 applied inbound Gi0/0 meant to block port 23 only,show access-lists: deny tcp any any eq 23 permit ip any any; show ip ssh: enabled,Verify ACL port numbers - SSH port 22 should not be blocked by port 23 rule,Layer4,ACL,Medium
C025,Switch port up/up but no traffic passes,Fa0/1 connected to PC port in VLAN 10,show mac-address-table: No entry for PC MAC; show spanning-tree: Fa0/1 BLK,STP put port in blocking state - loop detection,Layer2,SpanningTree,High
C026,OSPF redistribution from RIP fails,R3 redistributes RIP into OSPF area 0,show ip ospf database: External LSAs present; no E2 routes on R1 R2; redistribute rip missing subnets keyword,Missing subnets keyword in redistribution - classful redistribution dropping subnets,Layer3,Routing,High
C027,PC cannot ping gateway on same subnet,R1 Gi0/0 has 192.168.1.1/24 PC on same segment,show interfaces Gi0/0: 192.168.1.1/25; PC mask /24,Subnet mask mismatch - router /25 PC /24,Layer3,Routing,Medium
C028,VoIP phones register but call audio choppy,IP phones on VLAN 150 QoS to prioritize voice,show mls qos: QoS disabled globally; no service-policy applied,QoS not enabled - voice traffic competing with data,Layer2,QoS,Medium
C029,PC cannot reach internet after ISP changed IP block,New ISP subnet 198.51.100.0/28 NAT pool has old IPs,show ip nat translations: using 203.0.113.0/24 (old pool),NAT pool not updated with new ISP addresses,Layer3,NAT,High
C030,New VLAN 50 devices cannot communicate after switch config,VLAN 50 on SW1 SVI 192.168.50.1/24 PCs getting IPs,show vlan brief: VLAN 50 active SW1; trunk: SW2 does not include VLAN 50,VLAN 50 not propagated to SW2 - devices in unknown VLAN,Layer2,VLAN,Medium
